County,Precinct,Registered Voters,Christie Owens Fox (Rep)_Election Day Votes,Christie Owens Fox (Rep)_Advanced Voting Votes,Christie Owens Fox (Rep)_Absentee by Mail Votes,Christie Owens Fox (Rep)_Provisional Votes,Christie Owens Fox (Rep)_Choice Total,Total,
Gordon,Sugar Valley,1471,432,363,103,1,899,899,
Gordon,Plainville,2044,540,473,161,3,1177,1177,
Gordon,Sonoraville,5380,1177,1738,434,0,3349,3349,
Gordon,Pine Chapel,1071,322,266,62,0,650,650,
Gordon,Oostanaula,667,226,125,74,0,425,425,
Gordon,Oakman,1439,451,257,99,0,807,807,
Gordon,Gordon County,6423,909,2046,532,0,3487,3487,
Gordon,Lily Pond,1914,373,598,162,0,1133,1133,
Gordon,Fairmount,1991,697,356,180,2,1235,1235,
Gordon,Red Bud,2965,657,950,178,1,1786,1786,
Gordon,Resaca,1532,411,338,116,1,866,866,
