County,Precinct,Registered Voters,Frances Bennett Yeargan (I) (Rep)_Election Day Votes,Frances Bennett Yeargan (I) (Rep)_Advanced Voting Votes,Frances Bennett Yeargan (I) (Rep)_Absentee by Mail Votes,Frances Bennett Yeargan (I) (Rep)_Provisional Votes,Frances Bennett Yeargan (I) (Rep)_Choice Total,Total,
Wayne,Odum,1260,300,505,91,0,896,896,
Wayne,Madray Springs,1176,175,536,141,0,852,852,
Wayne,Oglethorpe,1741,246,751,176,0,1173,1173,
Wayne,Screven,1849,476,616,148,2,1242,1242,
Wayne,Empire,1106,193,523,101,0,817,817,
Wayne,Red Hill,1036,144,377,99,0,620,620,
Wayne,Altamaha,2857,255,1076,236,3,1570,1570,
Wayne,Gardi,1123,298,351,122,2,773,773,
Wayne,VFW,1145,68,251,94,0,413,413,
Wayne,Pine Street,1140,103,361,108,0,572,572,
Wayne,Unity,1905,202,698,220,0,1120,1120,
Wayne,Rec Center,1766,227,728,172,0,1127,1127,
