County,Precinct,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
Wayne,Odum,1260,302,507,91,0,900,900,
Wayne,Madray Springs,1176,179,542,138,1,860,860,
Wayne,Oglethorpe,1741,242,756,175,0,1173,1173,
Wayne,Screven,1849,471,610,147,2,1230,1230,
Wayne,Empire,1106,188,525,100,0,813,813,
Wayne,Red Hill,1036,142,374,100,0,616,616,
Wayne,Altamaha,2857,258,1055,228,3,1544,1544,
Wayne,Gardi,1123,286,346,120,2,754,754,
Wayne,VFW,1145,70,221,73,0,364,364,
Wayne,Pine Street,1140,96,337,100,0,533,533,
Wayne,Unity,1905,204,682,202,0,1088,1088,
Wayne,Rec Center,1766,224,708,171,0,1103,1103,
