County,Precinct,Registered Voters,Kristy Griffis Arnold (I)_Election Day Votes,Kristy Griffis Arnold (I)_Advanced Voting Votes,Kristy Griffis Arnold (I)_Absentee by Mail Votes,Kristy Griffis Arnold (I)_Provisional Votes,Kristy Griffis Arnold (I)_Choice Total,Total,
Wayne,Odum,1260,291,491,95,0,877,877,
Wayne,Madray Springs,1176,176,530,134,0,840,840,
Wayne,Oglethorpe,1741,241,736,173,0,1150,1150,
Wayne,Screven,1849,471,610,145,2,1228,1228,
Wayne,Empire,1106,182,512,95,0,789,789,
Wayne,Red Hill,1036,139,372,100,0,611,611,
Wayne,Altamaha,2857,260,1058,234,3,1555,1555,
Wayne,Gardi,1123,293,345,120,2,760,760,
Wayne,VFW,1145,72,257,105,0,434,434,
Wayne,Pine Street,1140,106,360,110,0,576,576,
Wayne,Unity,1905,199,706,218,0,1123,1123,
Wayne,Rec Center,1766,229,714,175,0,1118,1118,
