County,Precinct,Registered Voters,Denise M. Griffis (I) (Rep)_Election Day Votes,Denise M. Griffis (I) (Rep)_Advanced Voting Votes,Denise M. Griffis (I) (Rep)_Absentee by Mail Votes,Denise M. Griffis (I) (Rep)_Provisional Votes,Denise M. Griffis (I) (Rep)_Choice Total,Total,
Wayne,Odum,1260,302,509,93,0,904,904,
Wayne,Madray Springs,1176,180,547,142,0,869,869,
Wayne,Oglethorpe,1741,244,769,181,0,1194,1194,
Wayne,Screven,1849,477,627,149,2,1255,1255,
Wayne,Empire,1106,190,526,100,0,816,816,
Wayne,Red Hill,1036,143,381,102,0,626,626,
Wayne,Altamaha,2857,262,1077,240,3,1582,1582,
Wayne,Gardi,1123,299,348,123,2,772,772,
Wayne,VFW,1145,67,251,90,0,408,408,
Wayne,Pine Street,1140,107,355,112,0,574,574,
Wayne,Unity,1905,205,714,220,0,1139,1139,
Wayne,Rec Center,1766,231,733,175,0,1139,1139,
