County,Precinct,Registered Voters,"Ronald M. """"Ron"""" Adams (I) (Rep)_Election Day Votes","Ronald M. """"Ron"""" Adams (I) (Rep)_Advanced Voting Votes","Ronald M. """"Ron"""" Adams (I) (Rep)_Absentee by Mail Votes","Ronald M. """"Ron"""" Adams (I) (Rep)_Provisional Votes","Ronald M. """"Ron"""" Adams (I) (Rep)_Choice Total",Total,
Glynn,Sterling Elementary,4578,465,1630,450,2,2547,2547,
Glynn,Brookman,3460,435,1241,291,3,1970,1970,
Glynn,Satilla Marshes,2824,338,1035,294,0,1667,1667,
Glynn,Blythe Island Baptist,2529,289,1043,268,2,1602,1602,
Glynn,Christian Renewal,3699,305,1593,545,3,2446,2446,
Glynn,Hampton River,2823,229,1285,444,2,1960,1960,
Glynn,St William Catholic Church,4333,305,2002,570,2,2879,2879,
Glynn,First Baptist,4316,324,1857,581,2,2764,2764,
Glynn,Jekyll Island,774,224,102,109,2,437,437,
Glynn,Sterling Church of God,3925,450,1298,314,3,2065,2065,
Glynn,SE Baptist Bldg,2109,252,667,178,1,1098,1098,
Glynn,Career Academy,2960,352,985,335,3,1675,1675,
Glynn,C B Greer School,3288,355,1133,349,2,1839,1839,
Glynn,Ballard,3286,261,983,343,3,1590,1590,
Glynn,Northside Baptist,3313,279,690,334,0,1303,1303,
Glynn,The Chapel,2971,198,595,257,1,1051,1051,
Glynn,College Place UMC,2367,172,525,235,0,932,932,
Glynn,Howard Coffin Park,3320,247,582,276,1,1106,1106,
Glynn,Urbana-Perry Parks,3638,220,380,225,1,826,826,
Glynn,Selden Park,1439,91,209,97,2,399,399,
