index,County,Precinct,Registered Voters,Marian S. Jackson (I) (Dem)_Election Day Votes,Marian S. Jackson (I) (Dem)_Advanced Voting Votes,Marian S. Jackson (I) (Dem)_Absentee by Mail Votes,Marian S. Jackson (I) (Dem)_Provisional Votes,Marian S. Jackson (I) (Dem)_Choice Total,Total,
0,Burke,Alexander,389,82,52,74,0,208,208,
1,Burke,Four Points,2558,426,541,250,0,1217,1217,
2,Burke,Girard,733,162,103,107,0,372,372,
3,Burke,Gough,434,83,76,101,0,260,260,
4,Burke,Greenscut,1036,187,235,120,0,542,542,
5,Burke,Keysville,476,127,34,39,0,200,200,
6,Burke,Midville,492,150,37,68,0,255,255,
7,Burke,Munnerlyn,299,60,63,31,0,154,154,
8,Burke,Sardis,1049,272,161,88,0,521,521,
9,Burke,Scotts Crossroads,294,61,51,49,0,161,161,
10,Burke,Telfair,1121,169,235,149,0,553,553,
11,Burke,St Clair,442,84,98,75,0,257,257,
12,Burke,Vidette,313,79,33,48,0,160,160,
13,Burke,North Waynesboro,2949,320,708,528,0,1556,1556,
14,Burke,South Waynesboro,3290,366,1105,425,0,1896,1896,
15,Burke,Blakeney,681,92,176,68,0,336,336,
