County,Precinct,Registered Voters,Dana C. Chastain (I) (Rep)_Election Day Votes,Dana C. Chastain (I) (Rep)_Advanced Voting Votes,Dana C. Chastain (I) (Rep)_Absentee by Mail Votes,Dana C. Chastain (I) (Rep)_Provisional Votes,Dana C. Chastain (I) (Rep)_Choice Total,Total,
Fannin,Colwell,1105,292,325,155,0,772,772,
Fannin,Fairplay,1262,312,326,145,0,783,783,
Fannin,Flinthill,3202,688,855,403,1,1947,1947,
Fannin,Hemptown,1336,356,364,152,2,874,874,
Fannin,Hothouse,1290,270,400,169,7,846,846,
Fannin,Mineral Bluff,1817,351,618,265,0,1234,1234,
Fannin,Mobile,1160,320,302,145,0,767,767,
Fannin,Morganton,2067,477,619,270,2,1368,1368,
Fannin,Noontootla,839,190,243,161,0,594,594,
Fannin,Skeniah,331,118,67,49,2,236,236,
Fannin,Sugar Creek,2437,403,865,327,1,1596,1596,
Fannin,Toccoa,3553,515,1214,504,3,2236,2236,
