County,Precinct,Registered Voters,Sabrina M. Lamar (I) (Dem)_Election Day Votes,Sabrina M. Lamar (I) (Dem)_Advanced Voting Votes,Sabrina M. Lamar (I) (Dem)_Absentee by Mail Votes,Sabrina M. Lamar (I) (Dem)_Provisional Votes,Sabrina M. Lamar (I) (Dem)_Choice Total,Total,
Hancock,Devereux Fire Station,1006,111,256,190,0,557,557,
Hancock,St Mark,576,85,151,81,0,317,317,
Hancock,Courthouse,931,103,237,162,1,503,503,
Hancock,Second Beulah,472,61,124,128,0,313,313,
Hancock,Mayfield Community Center,356,59,50,81,0,190,190,
Hancock,Power of God,731,95,159,129,1,384,384,
Hancock,Warren Chapel,268,22,66,60,0,148,148,
Hancock,Youth Center,975,98,220,205,0,523,523,
Hancock,Second Darrien,364,68,61,102,0,231,231,
Hancock,Sparta 4C,148,16,20,53,0,89,89,
