County,Precinct,Registered Voters,Tabitha E. Payne (Rep)_Election Day Votes,Tabitha E. Payne (Rep)_Advanced Voting Votes,Tabitha E. Payne (Rep)_Absentee by Mail Votes,Tabitha E. Payne (Rep)_Provisional Votes,Tabitha E. Payne (Rep)_Choice Total,Total,
Mitchell,Baconton,1129,207,262,89,0,558,558,
Mitchell,Branchville,599,170,195,34,0,399,399,
Mitchell,Camilla North,1996,149,392,200,0,741,741,
Mitchell,Camilla South,3475,219,1170,412,3,1804,1804,
Mitchell,Cotton,399,179,72,38,0,289,289,
Mitchell,Hopeful,350,97,93,26,2,218,218,
Mitchell,Hinsonton,134,76,20,7,0,103,103,
Mitchell,Lester,1357,282,334,139,0,755,755,
Mitchell,Pebble City,162,70,29,17,0,116,116,
Mitchell,Pelham,3489,348,826,332,1,1507,1507,
Mitchell,Sale City,384,144,56,30,0,230,230,
