County,Precinct,Registered Voters,Billy Hickman (I) (Rep)_Election Day Votes,Billy Hickman (I) (Rep)_Advanced Voting Votes,Billy Hickman (I) (Rep)_Absentee by Mail Votes,Billy Hickman (I) (Rep)_Provisional Votes,Billy Hickman (I) (Rep)_Choice Total,Total,
Bulloch,Lockhart,720,262,129,51,1,443,443,
Bulloch,Emit,3360,639,1031,340,1,2011,2011,
Bulloch,Statesboro,6312,623,1648,649,11,2931,2931,
Bulloch,Portal,1735,477,329,161,0,967,967,
Bulloch,Fair,6335,655,2102,666,9,3432,3432,
Bulloch,Church,5793,591,1414,644,3,2652,2652,
Bulloch,Pittman Park,5279,609,1099,316,2,2026,2026,
Bulloch,Leefield,1000,366,221,80,1,668,668,
Bulloch,Blitch,1947,480,593,208,2,1283,1283,
Bulloch,Hagin,2403,516,560,230,4,1310,1310,
Bulloch,Brooklet,3351,744,1095,312,2,2153,2153,
Bulloch,Stilson,2137,634,459,176,1,1270,1270,
Bulloch,Bay,1610,556,377,144,0,1077,1077,
Bulloch,Nevils,1299,402,293,129,1,825,825,
Bulloch,Sinkhole,488,196,72,47,0,315,315,
Bulloch,Register,969,246,176,86,2,510,510,
