County,Precinct,Registered Voters,Catherine Sumner Findley (Rep)_Election Day Votes,Catherine Sumner Findley (Rep)_Advanced Voting Votes,Catherine Sumner Findley (Rep)_Absentee by Mail Votes,Catherine Sumner Findley (Rep)_Provisional Votes,Catherine Sumner Findley (Rep)_Choice Total,Total,
Bulloch,Lockhart,720,257,129,52,1,439,439,
Bulloch,Emit,3360,636,1039,334,1,2010,2010,
Bulloch,Statesboro,6312,625,1654,655,10,2944,2944,
Bulloch,Portal,1735,469,324,147,0,940,940,
Bulloch,Fair,6335,660,2145,670,7,3482,3482,
Bulloch,Church,5793,593,1428,650,4,2675,2675,
Bulloch,Pittman Park,5279,615,1112,317,2,2046,2046,
Bulloch,Leefield,1000,371,222,79,1,673,673,
Bulloch,Blitch,1947,481,596,213,1,1291,1291,
Bulloch,Hagin,2403,517,564,241,4,1326,1326,
Bulloch,Brooklet,3351,747,1086,319,2,2154,2154,
Bulloch,Stilson,2137,641,457,173,1,1272,1272,
Bulloch,Bay,1610,558,378,141,0,1077,1077,
Bulloch,Nevils,1299,399,289,129,1,818,818,
Bulloch,Sinkhole,488,201,69,47,0,317,317,
Bulloch,Register,969,240,178,86,2,506,506,
