County,Precinct,Registered Voters,Daphne Jarriel Totten (Rep)_Election Day Votes,Daphne Jarriel Totten (Rep)_Advanced Voting Votes,Daphne Jarriel Totten (Rep)_Absentee by Mail Votes,Daphne Jarriel Totten (Rep)_Provisional Votes,Daphne Jarriel Totten (Rep)_Choice Total,Total,
Bulloch,Lockhart,720,255,130,54,1,440,440,
Bulloch,Emit,3360,640,1032,335,1,2008,2008,
Bulloch,Statesboro,6312,624,1656,661,9,2950,2950,
Bulloch,Portal,1735,475,327,155,0,957,957,
Bulloch,Fair,6335,662,2137,673,7,3479,3479,
Bulloch,Church,5793,593,1433,644,4,2674,2674,
Bulloch,Pittman Park,5279,615,1105,321,2,2043,2043,
Bulloch,Leefield,1000,374,224,79,1,678,678,
Bulloch,Blitch,1947,480,598,203,1,1282,1282,
Bulloch,Hagin,2403,511,569,240,3,1323,1323,
Bulloch,Brooklet,3351,746,1091,313,2,2152,2152,
Bulloch,Stilson,2137,638,461,178,1,1278,1278,
Bulloch,Bay,1610,560,375,137,0,1072,1072,
Bulloch,Nevils,1299,397,288,126,1,812,812,
Bulloch,Sinkhole,488,202,72,47,0,321,321,
Bulloch,Register,969,243,180,90,1,514,514,
