County,Precinct,Registered Voters,Curt Deal (I) (Rep)_Election Day Votes,Curt Deal (I) (Rep)_Advanced Voting Votes,Curt Deal (I) (Rep)_Absentee by Mail Votes,Curt Deal (I) (Rep)_Provisional Votes,Curt Deal (I) (Rep)_Choice Total,Total,
Bulloch,Lockhart,720,184,85,30,1,300,300,
Bulloch,Emit,3360,639,1026,337,1,2003,2003,
Bulloch,Statesboro,6312,272,879,310,2,1463,1463,
Bulloch,Portal,1735,44,60,22,0,126,126,
Bulloch,Fair,6335,622,2091,651,3,3367,3367,
Bulloch,Church,5793,323,963,384,1,1671,1671,
Bulloch,Pittman Park,5279,453,879,275,0,1607,1607,
Bulloch,Leefield,1000,374,220,81,1,676,676,
Bulloch,Blitch,1947,483,586,214,1,1284,1284,
Bulloch,Hagin,2403,440,486,194,3,1123,1123,
Bulloch,Brooklet,3351,750,1084,314,2,2150,2150,
Bulloch,Stilson,2137,636,461,175,1,1273,1273,
Bulloch,Bay,1610,556,379,140,0,1075,1075,
Bulloch,Nevils,1299,403,287,130,1,821,821,
Bulloch,Sinkhole,488,199,69,49,0,317,317,
Bulloch,Register,969,153,82,44,1,280,280,
