County,Precinct,Registered Voters,Michelle Morgan (I) (Rep)_Election Day Votes,Michelle Morgan (I) (Rep)_Advanced Voting Votes,Michelle Morgan (I) (Rep)_Absentee by Mail Votes,Michelle Morgan (I) (Rep)_Provisional Votes,Michelle Morgan (I) (Rep)_Choice Total,Total,
Carroll,Kansas,1165,440,270,90,0,800,800,
Carroll,Bowdon,3289,693,755,286,1,1735,1735,
Carroll,Sandhill,4459,575,1558,334,3,2470,2470,
Carroll,Center Point,1775,465,630,158,1,1254,1254,
Carroll,Mt Zion,2641,661,721,210,0,1592,1592,
Carroll,Burwell,1564,409,411,149,2,971,971,
Carroll,Clem,3695,507,1539,367,2,2415,2415,
Carroll,Bowdon Junction,1547,267,452,126,0,845,845,
Carroll,Tyus,1920,563,529,150,1,1243,1243,
Carroll,Fairfield,3867,913,1219,358,0,2490,2490,
Carroll,Hulett,2408,514,823,179,0,1516,1516,
Carroll,Bethany,4779,505,1327,337,1,2170,2170,
Carroll,V R County South,2942,331,1094,269,1,1695,1695,
Carroll,V R County North,5472,638,1815,437,0,2890,2890,
Carroll,Villa Rica City,7250,653,1990,560,1,3204,3204,
Carroll,Temple County,4354,700,1365,316,3,2384,2384,
Carroll,Temple City,3700,648,1025,258,3,1934,1934,
Carroll,Whitesburg,2190,555,596,166,0,1317,1317,
Carroll,Roopville,3200,658,1088,258,3,2007,2007,
Carroll,West Carrollton,4380,313,991,298,1,1603,1603,
Carroll,Lakeshore Rec Center,1671,130,525,152,1,808,808,
Carroll,Bonner,3736,293,1360,307,2,1962,1962,
Carroll,University of W GA,2164,215,662,176,2,1055,1055,
Carroll,County Admin Bldg,2620,213,961,249,1,1424,1424,
Carroll,Tabernacle Church,1628,141,584,225,0,950,950,
Carroll,Burson Center,1466,154,527,134,1,816,816,
Carroll,Old Camp Church,2297,389,860,226,2,1477,1477,
Carroll,Oak Grove,1668,305,537,130,0,972,972,
