County,Precinct,Registered Voters,Michael D. Crawford (I) (Rep)_Election Day Votes,Michael D. Crawford (I) (Rep)_Advanced Voting Votes,Michael D. Crawford (I) (Rep)_Absentee by Mail Votes,Michael D. Crawford (I) (Rep)_Provisional Votes,Michael D. Crawford (I) (Rep)_Choice Total,Total,
Carroll,Kansas,1165,443,269,93,0,805,805,
Carroll,Bowdon,3289,693,759,284,1,1737,1737,
Carroll,Sandhill,4459,569,1539,328,3,2439,2439,
Carroll,Center Point,1775,466,629,158,0,1253,1253,
Carroll,Mt Zion,2641,665,722,210,0,1597,1597,
Carroll,Burwell,1564,415,419,146,2,982,982,
Carroll,Clem,3695,509,1537,363,2,2411,2411,
Carroll,Bowdon Junction,1547,265,450,120,0,835,835,
Carroll,Tyus,1920,568,531,156,1,1256,1256,
Carroll,Fairfield,3867,906,1201,360,0,2467,2467,
Carroll,Hulett,2408,517,822,174,0,1513,1513,
Carroll,Bethany,4779,508,1312,335,1,2156,2156,
Carroll,V R County South,2942,329,1094,269,1,1693,1693,
Carroll,V R County North,5472,634,1793,435,0,2862,2862,
Carroll,Villa Rica City,7250,647,1982,560,0,3189,3189,
Carroll,Temple County,4354,695,1357,321,3,2376,2376,
Carroll,Temple City,3700,647,1016,258,3,1924,1924,
Carroll,Whitesburg,2190,557,593,160,0,1310,1310,
Carroll,Roopville,3200,667,1088,263,3,2021,2021,
Carroll,West Carrollton,4380,311,976,294,1,1582,1582,
Carroll,Lakeshore Rec Center,1671,131,524,150,1,806,806,
Carroll,Bonner,3736,292,1338,292,2,1924,1924,
Carroll,University of W GA,2164,217,653,166,2,1038,1038,
Carroll,County Admin Bldg,2620,216,953,239,1,1409,1409,
Carroll,Tabernacle Church,1628,143,571,210,0,924,924,
Carroll,Burson Center,1466,153,513,134,1,801,801,
Carroll,Old Camp Church,2297,396,855,212,2,1465,1465,
Carroll,Oak Grove,1668,314,548,123,0,985,985,
