County,Precinct,Registered Voters,Tommy Waldrop (I)_Election Day Votes,Tommy Waldrop (I)_Advanced Voting Votes,Tommy Waldrop (I)_Absentee by Mail Votes,Tommy Waldrop (I)_Provisional Votes,Tommy Waldrop (I)_Choice Total,Total,
Douglas,Mirror Lake Elementary,6745,718,1871,1072,4,3665,3665,
Douglas,Winston,1911,211,589,240,1,1041,1041,
Douglas,Dog River Library,4915,417,2104,656,0,3177,3177,
Douglas,Atlanta West Pentecostal,4076,393,918,480,1,1792,1792,
Douglas,Ephesus Baptist Church,3930,573,1452,565,0,2590,2590,
Douglas,Prays Mill Gym,5459,496,1918,848,0,3262,3262,
Douglas,Turner,3847,421,1026,565,0,2012,2012,
Douglas,First Baptist Lithia Springs,1966,222,480,300,7,1009,1009,
Douglas,Lithia Springs High School,6033,392,1888,1054,0,3334,3334,
Douglas,Deer Lick,3042,223,881,383,1,1488,1488,
Douglas,Golden Methodist Church,5634,454,1546,867,3,2870,2870,
Douglas,Old Courthouse,5675,414,1455,836,2,2707,2707,
Douglas,Beulah Baptist Church,3500,388,976,523,1,1888,1888,
Douglas,Stewart,3208,327,856,472,0,1655,1655,
Douglas,Arbor Station,2990,320,831,414,6,1571,1571,
Douglas,Bright Star,2703,324,753,403,1,1481,1481,
Douglas,Dorsett Shoals,3901,437,1069,575,0,2081,2081,
Douglas,Chapel Hill,4016,325,1410,681,6,2422,2422,
Douglas,Church At Chapel Hill,6353,452,2294,1023,0,3769,3769,
Douglas,Chestnut Log,5177,358,1271,633,4,2266,2266,
Douglas,St Julians Episcopal,2253,264,603,364,0,1231,1231,
Douglas,Lutheran Church-GS,4149,90,1412,703,2,2207,2207,
Douglas,First Baptist Douglasville,2478,186,834,519,0,1539,1539,
Douglas,Factory Shoals,4359,283,1551,739,0,2573,2573,
Douglas,Boundary Waters,4220,255,1582,587,0,2424,2424,
