County,Precinct,Registered Voters,Amy E. Johnson (I) (Rep)_Election Day Votes,Amy E. Johnson (I) (Rep)_Advanced Voting Votes,Amy E. Johnson (I) (Rep)_Absentee by Mail Votes,Amy E. Johnson (I) (Rep)_Provisional Votes,Amy E. Johnson (I) (Rep)_Choice Total,Total,
Gilmer,Ellijay South,3172,391,1167,392,2,1952,1952,
Gilmer,Cartecay,1598,412,481,206,2,1101,1101,
Gilmer,Tails Creek,1782,465,478,147,0,1090,1090,
Gilmer,Town Creek,1234,316,336,109,0,761,761,
Gilmer,Leaches,2939,554,977,342,1,1874,1874,
Gilmer,Cherry Log,926,267,236,118,0,621,621,
Gilmer,Boardtown,1391,298,514,209,3,1024,1024,
Gilmer,Mountaintown,1139,280,369,130,1,780,780,
Gilmer,East Ellijay,1655,252,636,220,0,1108,1108,
Gilmer,Ellijay North,1810,284,612,207,1,1104,1104,
Gilmer,Yukon,1288,363,357,122,0,842,842,
Gilmer,Big Creek,1479,372,407,193,0,972,972,
Gilmer,Ellijay Northeast,1851,243,718,228,0,1189,1189,
