index,County,Precinct,Registered Voters,Hubert B. Parker (I) (Rep)_Election Day Votes,Hubert B. Parker (I) (Rep)_Advanced Voting Votes,Hubert B. Parker (I) (Rep)_Absentee by Mail Votes,Hubert B. Parker (I) (Rep)_Provisional Votes,Hubert B. Parker (I) (Rep)_Choice Total,Total,
0,Gilmer,Ellijay South,3172,393,1170,379,2,1944,1944,
1,Gilmer,Cartecay,1598,410,480,205,2,1097,1097,
2,Gilmer,Tails Creek,1782,461,475,144,0,1080,1080,
3,Gilmer,Town Creek,1234,312,330,108,0,750,750,
4,Gilmer,Leaches,2939,541,974,341,2,1858,1858,
5,Gilmer,Cherry Log,926,258,236,114,0,608,608,
6,Gilmer,Boardtown,1391,291,511,208,4,1014,1014,
7,Gilmer,Mountaintown,1139,276,365,129,1,771,771,
8,Gilmer,East Ellijay,1655,251,643,214,0,1108,1108,
9,Gilmer,Ellijay North,1810,283,614,207,1,1105,1105,
10,Gilmer,Yukon,1288,352,359,124,0,835,835,
11,Gilmer,Big Creek,1479,367,412,192,0,971,971,
12,Gilmer,Ellijay Northeast,1851,235,713,228,0,1176,1176,
