County,Precinct,Registered Voters,Jim Proctor (I) (Ind)_Election Day Votes,Jim Proctor (I) (Ind)_Advanced Voting Votes,Jim Proctor (I) (Ind)_Absentee by Mail Votes,Jim Proctor (I) (Ind)_Provisional Votes,Jim Proctor (I) (Ind)_Choice Total,Total,
Camden,Tarboro,979,250,251,107,0,608,608,
Camden,Waverly,1530,310,508,243,0,1061,1061,
Camden,Woodbine,1973,316,639,231,1,1187,1187,
Camden,Browntown,698,125,224,70,0,419,419,
Camden,Harrietts Bluff,1834,389,670,196,0,1255,1255,
Camden,West Kingsland,2782,346,1066,255,0,1667,1667,
Camden,North Kingsland,2599,265,755,265,0,1285,1285,
Camden,Kingsland,2274,229,664,190,0,1083,1083,
Camden,East Kingsland,6866,646,2531,746,0,3923,3923,
Camden,North St Marys,2095,221,445,143,0,809,809,
Camden,St Marys,3218,445,1010,347,0,1802,1802,
Camden,South St Marys,2139,243,797,305,2,1347,1347,
Camden,Mush Bluff,2816,367,1055,336,1,1759,1759,
Camden,West St Marys,3147,251,1378,572,0,2201,2201,
