County,Precinct,Registered Voters,Richard Hawk (I) (Rep)_Election Day Votes,Richard Hawk (I) (Rep)_Advanced Voting Votes,Richard Hawk (I) (Rep)_Absentee by Mail Votes,Richard Hawk (I) (Rep)_Provisional Votes,Richard Hawk (I) (Rep)_Choice Total,Total,
Coweta,Senoia,5838,1105,1999,845,1,3950,3950,
Coweta,Moreland,2758,957,633,365,0,1955,1955,
Coweta,Pine Road,2095,568,539,281,0,1388,1388,
Coweta,Dresden,839,366,121,89,0,576,576,
Coweta,Newnan,3478,508,575,405,0,1488,1488,
Coweta,Sharpsburg,4526,926,1619,505,1,3051,3051,
Coweta,Fischer Road,4328,776,1515,627,2,2920,2920,
Coweta,Cedar Creek,5330,1068,1784,846,0,3698,3698,
Coweta,Grantville,2572,806,437,258,1,1502,1502,
Coweta,Haralson,2339,825,533,255,0,1613,1613,
Coweta,Welcome,3212,1129,545,390,0,2064,2064,
Coweta,Panther Creek,3028,955,575,371,0,1901,1901,
Coweta,Raymond,2492,663,708,331,0,1702,1702,
Coweta,Turin,4477,1119,1495,572,0,3186,3186,
Coweta,Smokey Road,2559,535,466,306,1,1308,1308,
Coweta,Central,4395,525,690,394,3,1612,1612,
Coweta,Newnan Centre,20465,2775,6014,2798,1,11588,11588,
Coweta,Greentop,2846,595,586,454,0,1635,1635,
Coweta,Expo Center,1974,550,420,327,0,1297,1297,
Coweta,White Oak,4636,820,1492,562,1,2875,2875,
Coweta,Madras,4462,840,1377,681,2,2900,2900,
Coweta,Cannongate,3653,884,1164,495,0,2543,2543,
Coweta,Westside,838,177,91,90,0,358,358,
Coweta,Northside,2285,649,429,337,0,1415,1415,
Coweta,Thomas Crossroads,4962,901,1828,577,0,3306,3306,
Coweta,Coweta Central Library,1723,313,672,200,0,1185,1185,
