index,County,Precinct,Registered Voters,Sandy Wisenbaker (I) (Rep)_Election Day Votes,Sandy Wisenbaker (I) (Rep)_Advanced Voting Votes,Sandy Wisenbaker (I) (Rep)_Absentee by Mail Votes,Sandy Wisenbaker (I) (Rep)_Provisional Votes,Sandy Wisenbaker (I) (Rep)_Choice Total,Total,
0,Coweta,Senoia,5838,1099,1992,838,1,3930,3930,
1,Coweta,Moreland,2758,948,630,367,0,1945,1945,
2,Coweta,Pine Road,2095,572,537,276,0,1385,1385,
3,Coweta,Dresden,839,361,121,89,0,571,571,
4,Coweta,Newnan,3478,502,566,401,0,1469,1469,
5,Coweta,Sharpsburg,4526,922,1615,504,1,3042,3042,
6,Coweta,Fischer Road,4328,772,1509,617,2,2900,2900,
7,Coweta,Cedar Creek,5330,1062,1778,837,0,3677,3677,
8,Coweta,Grantville,2572,796,431,255,1,1483,1483,
9,Coweta,Haralson,2339,823,533,253,0,1609,1609,
10,Coweta,Welcome,3212,1120,544,382,0,2046,2046,
11,Coweta,Panther Creek,3028,941,573,369,0,1883,1883,
12,Coweta,Raymond,2492,660,703,326,0,1689,1689,
13,Coweta,Turin,4477,1118,1485,572,0,3175,3175,
14,Coweta,Smokey Road,2559,529,464,299,1,1293,1293,
15,Coweta,Central,4395,523,688,388,3,1602,1602,
16,Coweta,Newnan Centre,20465,2747,5975,2763,1,11486,11486,
17,Coweta,Greentop,2846,589,588,447,0,1624,1624,
18,Coweta,Expo Center,1974,550,414,331,0,1295,1295,
19,Coweta,White Oak,4636,820,1485,565,1,2871,2871,
20,Coweta,Madras,4462,835,1377,679,2,2893,2893,
21,Coweta,Cannongate,3653,886,1163,492,0,2541,2541,
22,Coweta,Westside,838,174,91,85,0,350,350,
23,Coweta,Northside,2285,651,428,330,0,1409,1409,
24,Coweta,Thomas Crossroads,4962,905,1819,569,0,3293,3293,
25,Coweta,Coweta Central Library,1723,315,670,205,0,1190,1190,
