County,Precinct,Registered Voters,Nancy Kitchings Aspinwall (I) (Dem)_Election Day Votes,Nancy Kitchings Aspinwall (I) (Dem)_Advanced Voting Votes,Nancy Kitchings Aspinwall (I) (Dem)_Absentee by Mail Votes,Nancy Kitchings Aspinwall (I) (Dem)_Provisional Votes,Nancy Kitchings Aspinwall (I) (Dem)_Choice Total,Total,
Liberty,Riceboro Youth Center,1083,113,392,208,0,713,713,
Liberty,Lyman Hall School,4542,372,1167,657,0,2196,2196,
Liberty,Lewis Frasier School,4317,296,1476,716,0,2488,2488,
Liberty,Memorial Dr East,1976,143,495,310,0,948,948,
Liberty,Button Gwinnett,2304,126,201,120,0,447,447,
Liberty,Town of Allenhurst,2398,214,851,377,0,1442,1442,
Liberty,Hinesville,1984,140,567,271,0,978,978,
Liberty,Liberty County Complex,4379,270,1535,622,0,2427,2427,
Liberty,Walthourville,3016,215,961,397,0,1573,1573,
Liberty,Fleming West,505,58,158,106,0,322,322,
Liberty,Fleming East,3239,312,918,341,0,1571,1571,
Liberty,Gum Branch,3193,272,818,382,0,1472,1472,
Liberty,Hinesville Lodge 271,2646,242,738,416,0,1396,1396,
