County,Precinct,Registered Voters,Melinda Anderson (I) (Dem)_Election Day Votes,Melinda Anderson (I) (Dem)_Advanced Voting Votes,Melinda Anderson (I) (Dem)_Absentee by Mail Votes,Melinda Anderson (I) (Dem)_Provisional Votes,Melinda Anderson (I) (Dem)_Choice Total,Total,
Liberty,Riceboro Youth Center,1083,107,396,207,0,710,710,
Liberty,Lyman Hall School,4542,379,1181,657,0,2217,2217,
Liberty,Lewis Frasier School,4317,305,1473,711,0,2489,2489,
Liberty,Memorial Dr East,1976,141,500,310,0,951,951,
Liberty,Button Gwinnett,2304,129,199,121,0,449,449,
Liberty,Town of Allenhurst,2398,216,856,378,0,1450,1450,
Liberty,Hinesville,1984,140,573,266,0,979,979,
Liberty,Liberty County Complex,4379,272,1518,619,0,2409,2409,
Liberty,Walthourville,3016,218,969,392,0,1579,1579,
Liberty,Fleming West,505,58,161,101,0,320,320,
Liberty,Fleming East,3239,311,890,336,0,1537,1537,
Liberty,Gum Branch,3193,274,802,374,0,1450,1450,
Liberty,Hinesville Lodge 271,2646,243,737,416,0,1396,1396,
