County,Precinct,Registered Voters,Mark A. Hendrix (I) (Rep)_Election Day Votes,Mark A. Hendrix (I) (Rep)_Advanced Voting Votes,Mark A. Hendrix (I) (Rep)_Absentee by Mail Votes,Mark A. Hendrix (I) (Rep)_Provisional Votes,Mark A. Hendrix (I) (Rep)_Choice Total,Total,
Liberty,Riceboro Youth Center,1083,81,248,99,0,428,428,
Liberty,Lyman Hall School,4542,321,840,404,0,1565,1565,
Liberty,Lewis Frasier School,4317,280,1216,464,0,1960,1960,
Liberty,Memorial Dr East,1976,117,370,192,0,679,679,
Liberty,Button Gwinnett,2304,132,199,99,0,430,430,
Liberty,Town of Allenhurst,2398,196,616,253,0,1065,1065,
Liberty,Hinesville,1984,135,492,188,0,815,815,
Liberty,Liberty County Complex,4379,301,1413,366,0,2080,2080,
Liberty,Walthourville,3016,193,730,267,0,1190,1190,
Liberty,Fleming West,505,50,121,49,0,220,220,
Liberty,Fleming East,3239,393,1085,294,0,1772,1772,
Liberty,Gum Branch,3193,315,725,255,0,1295,1295,
Liberty,Hinesville Lodge 271,2646,214,538,281,0,1033,1033,
