County,Precinct,Registered Voters,Virgil M. Jones (I) (Dem)_Election Day Votes,Virgil M. Jones (I) (Dem)_Advanced Voting Votes,Virgil M. Jones (I) (Dem)_Absentee by Mail Votes,Virgil M. Jones (I) (Dem)_Provisional Votes,Virgil M. Jones (I) (Dem)_Choice Total,Total,
Liberty,Riceboro Youth Center,1083,107,400,211,0,718,718,
Liberty,Lyman Hall School,4542,381,1181,664,0,2226,2226,
Liberty,Lewis Frasier School,4317,302,1458,718,0,2478,2478,
Liberty,Memorial Dr East,1976,142,504,314,0,960,960,
Liberty,Button Gwinnett,2304,130,203,121,0,454,454,
Liberty,Town of Allenhurst,2398,213,855,382,0,1450,1450,
Liberty,Hinesville,1984,142,550,272,0,964,964,
Liberty,Liberty County Complex,4379,273,1539,626,0,2438,2438,
Liberty,Walthourville,3016,221,977,403,0,1601,1601,
Liberty,Fleming West,505,57,159,100,0,316,316,
Liberty,Fleming East,3239,314,919,337,0,1570,1570,
Liberty,Gum Branch,3193,269,797,378,0,1444,1444,
Liberty,Hinesville Lodge 271,2646,247,743,422,0,1412,1412,
