County,Precinct,Registered Voters,Lorrie H. Higginbotham (I) (Rep)_Election Day Votes,Lorrie H. Higginbotham (I) (Rep)_Advanced Voting Votes,Lorrie H. Higginbotham (I) (Rep)_Absentee by Mail Votes,Lorrie H. Higginbotham (I) (Rep)_Provisional Votes,Lorrie H. Higginbotham (I) (Rep)_Choice Total,Total,
Elbert,Elberton,3798,318,1303,517,0,2138,2138,
Elbert,Longstreet,622,121,217,84,0,422,422,
Elbert,Eliam,748,173,275,109,0,557,557,
Elbert,Petersburg,377,108,100,65,0,273,273,
Elbert,Wyche,1095,154,468,150,0,772,772,
Elbert,Moss-Ruckersville,468,112,135,64,0,311,311,
Elbert,Pike,1596,258,514,259,0,1031,1031,
Elbert,Gaines,570,190,134,74,0,398,398,
Elbert,Goshen,1612,387,547,167,0,1101,1101,
Elbert,Webbsboro,408,100,144,50,0,294,294,
Elbert,Centerville,1011,228,366,108,0,702,702,
