index,County,Precinct,Registered Voters,Parks White (I) (Rep)_Election Day Votes,Parks White (I) (Rep)_Advanced Voting Votes,Parks White (I) (Rep)_Absentee by Mail Votes,Parks White (I) (Rep)_Provisional Votes,Parks White (I) (Rep)_Choice Total,Total,
0,Elbert,Elberton,3798,259,1147,448,0,1854,1854,
1,Elbert,Longstreet,622,113,200,75,0,388,388,
2,Elbert,Eliam,748,156,262,99,0,517,517,
3,Elbert,Petersburg,377,105,96,61,0,262,262,
4,Elbert,Wyche,1095,140,432,126,0,698,698,
5,Elbert,Moss-Ruckersville,468,105,133,61,0,299,299,
6,Elbert,Pike,1596,239,465,211,0,915,915,
7,Elbert,Gaines,570,186,132,66,0,384,384,
8,Elbert,Goshen,1612,369,520,157,0,1046,1046,
9,Elbert,Webbsboro,408,99,138,46,0,283,283,
10,Elbert,Centerville,1011,214,336,98,0,648,648,
