County,Precinct,Registered Voters,Wes Whitfield (I) (Rep)_Election Day Votes,Wes Whitfield (I) (Rep)_Advanced Voting Votes,Wes Whitfield (I) (Rep)_Absentee by Mail Votes,Wes Whitfield (I) (Rep)_Provisional Votes,Wes Whitfield (I) (Rep)_Choice Total,Total,
Banks,Anderson,1533,218,583,120,1,922,922,
Banks,Baldwin,876,95,331,131,0,557,557,
Banks,Berlin,415,45,188,27,1,261,261,
Banks,Bushville,816,121,303,53,1,478,478,
Banks,Columbia,363,65,167,32,0,264,264,
Banks,Davids,1977,256,755,142,4,1157,1157,
Banks,Golden Hill,1008,130,338,77,0,545,545,
Banks,Grove River,600,96,236,71,0,403,403,
Banks,Hollingsworth,667,89,288,61,1,439,439,
Banks,Homer,1544,182,664,126,1,973,973,
Banks,Poplar Springs,1775,230,732,158,1,1121,1121,
Banks,Washington,704,86,306,56,1,449,449,
Banks,Wilmonts,620,76,261,57,0,394,394,
