County,Precinct,Registered Voters,Anthony Seabolt (I) (Rep)_Election Day Votes,Anthony Seabolt (I) (Rep)_Advanced Voting Votes,Anthony Seabolt (I) (Rep)_Absentee by Mail Votes,Anthony Seabolt (I) (Rep)_Provisional Votes,Anthony Seabolt (I) (Rep)_Choice Total,Total,
Banks,Anderson,1533,222,587,121,1,931,931,
Banks,Baldwin,876,93,332,132,0,557,557,
Banks,Berlin,415,45,190,27,1,263,263,
Banks,Bushville,816,123,303,53,1,480,480,
Banks,Columbia,363,65,168,33,0,266,266,
Banks,Davids,1977,257,764,145,4,1170,1170,
Banks,Golden Hill,1008,131,339,78,0,548,548,
Banks,Grove River,600,96,237,72,0,405,405,
Banks,Hollingsworth,667,88,289,61,1,439,439,
Banks,Homer,1544,180,664,126,1,971,971,
Banks,Poplar Springs,1775,232,732,160,1,1125,1125,
Banks,Washington,704,86,306,56,1,449,449,
Banks,Wilmonts,620,76,261,56,0,393,393,
