County,Precinct,Registered Voters,Matt Jarratt (I) (Rep)_Election Day Votes,Matt Jarratt (I) (Rep)_Advanced Voting Votes,Matt Jarratt (I) (Rep)_Absentee by Mail Votes,Matt Jarratt (I) (Rep)_Provisional Votes,Matt Jarratt (I) (Rep)_Choice Total,Total,
Jones,Gray,0,279,1271,295,0,1845,1845,
Jones,Hawkins,0,371,856,364,0,1591,1591,
Jones,Ethridge,0,221,641,195,0,1057,1057,
Jones,Clinton,0,325,965,254,2,1546,1546,
Jones,Roberts,0,527,730,272,1,1530,1530,
Jones,Davidson,0,375,537,131,0,1043,1043,
Jones,Pope,0,363,603,169,1,1136,1136,
Jones,Barron,0,304,434,127,0,865,865,
Jones,Sanders,0,97,15,16,0,128,128,
Jones,Finney,0,624,841,285,1,1751,1751,
