County,Precinct,Registered Voters,Keith Cromartie_Election Day Votes,Keith Cromartie_Advanced Voting Votes,Keith Cromartie_Absentee by Mail Votes,Keith Cromartie_Provisional Votes,Keith Cromartie_Choice Total,Total,
Dougherty,Palmyra Methodist,2761,450,488,343,6,1287,1287,
Dougherty,Sherwood Elementary,3205,548,667,425,1,1641,1641,
Dougherty,Covenant Church,2334,483,433,286,2,1204,1204,
Dougherty,Greenbriar Church,3885,549,1133,740,6,2428,2428,
Dougherty,Westover High School,3394,543,922,553,0,2018,2018,
Dougherty,Merry Acres Middle,2432,451,552,339,9,1351,1351,
Dougherty,Darton College,4289,546,1036,651,6,2239,2239,
Dougherty,Westtown Elementary,3265,498,594,636,1,1729,1729,
Dougherty,2nd Mt Zion Church,1465,301,258,235,2,796,796,
Dougherty,Mt Zion Center,3638,511,495,566,2,1574,1574,
Dougherty,Alice Coachman Elementary,750,123,155,189,0,467,467,
Dougherty,Carver Teen Center,1667,216,142,226,2,586,586,
Dougherty,Shiloh Baptist Church,1510,244,164,203,0,611,611,
Dougherty,Litman Cathedral,1486,225,172,191,21,609,609,
Dougherty,Phoebe Healthworks,1574,204,159,180,1,544,544,
Dougherty,Turner Elementary,1205,113,67,65,6,251,251,
Dougherty,Jackson Heights Elementary,2549,348,282,328,0,958,958,
Dougherty,Bill Miller Center,2404,341,362,276,5,984,984,
Dougherty,Radium Middle School,693,133,124,95,0,352,352,
Dougherty,Putney 1st Baptist Church,2819,605,464,367,1,1437,1437,
Dougherty,International Studies,1042,156,212,194,1,563,563,
Dougherty,Phoebe East,2965,506,391,379,3,1279,1279,
Dougherty,Pine Bluff Baptist Church,2221,394,365,363,0,1122,1122,
Dougherty,Albany Middle School,1963,332,254,239,2,827,827,
Dougherty,Christ Church,1879,451,478,307,1,1237,1237,
Dougherty,Lamar Reese Elementary,1098,169,189,243,5,606,606,
Dougherty,1st Christian Church,1505,306,340,211,1,858,858,
Dougherty,Lovett Hall,1174,186,161,28,1,376,376,
