index,County,Precinct,Registered Voters,Gregory W. Edwards (I) (Dem)_Election Day Votes,Gregory W. Edwards (I) (Dem)_Advanced Voting Votes,Gregory W. Edwards (I) (Dem)_Absentee by Mail Votes,Gregory W. Edwards (I) (Dem)_Provisional Votes,Gregory W. Edwards (I) (Dem)_Choice Total,Total,
0,Dougherty,Palmyra Methodist,2761,434,487,348,8,1277,1277,
1,Dougherty,Sherwood Elementary,3205,550,685,431,1,1667,1667,
2,Dougherty,Covenant Church,2334,453,439,295,2,1189,1189,
3,Dougherty,Greenbriar Church,3885,523,1125,777,7,2432,2432,
4,Dougherty,Westover High School,3394,546,974,587,0,2107,2107,
5,Dougherty,Merry Acres Middle,2432,425,529,352,10,1316,1316,
6,Dougherty,Darton College,4289,567,1081,683,7,2338,2338,
7,Dougherty,Westtown Elementary,3265,522,633,678,1,1834,1834,
8,Dougherty,2nd Mt Zion Church,1465,292,248,236,2,778,778,
9,Dougherty,Mt Zion Center,3638,561,559,629,2,1751,1751,
10,Dougherty,Alice Coachman Elementary,750,129,164,207,0,500,500,
11,Dougherty,Carver Teen Center,1667,234,149,231,2,616,616,
12,Dougherty,Shiloh Baptist Church,1510,265,183,216,0,664,664,
13,Dougherty,Litman Cathedral,1486,241,192,209,23,665,665,
14,Dougherty,Phoebe Healthworks,1574,209,170,198,1,578,578,
15,Dougherty,Turner Elementary,1205,114,73,70,6,263,263,
16,Dougherty,Jackson Heights Elementary,2549,395,318,361,0,1074,1074,
17,Dougherty,Bill Miller Center,2404,359,392,299,5,1055,1055,
18,Dougherty,Radium Middle School,693,133,129,95,0,357,357,
19,Dougherty,Putney 1st Baptist Church,2819,555,450,386,1,1392,1392,
20,Dougherty,International Studies,1042,153,214,203,1,571,571,
21,Dougherty,Phoebe East,2965,509,400,393,3,1305,1305,
22,Dougherty,Pine Bluff Baptist Church,2221,391,375,367,0,1133,1133,
23,Dougherty,Albany Middle School,1963,350,274,258,4,886,886,
24,Dougherty,Christ Church,1879,415,487,325,1,1228,1228,
25,Dougherty,Lamar Reese Elementary,1098,181,198,267,5,651,651,
26,Dougherty,1st Christian Church,1505,307,340,228,1,876,876,
27,Dougherty,Lovett Hall,1174,195,168,33,1,397,397,
