County,Precinct,Registered Voters,Leisa Green Johnson_Election Day Votes,Leisa Green Johnson_Advanced Voting Votes,Leisa Green Johnson_Absentee by Mail Votes,Leisa Green Johnson_Provisional Votes,Leisa Green Johnson_Choice Total,Total,
Dougherty,Palmyra Methodist,2761,419,466,325,9,1219,1219,
Dougherty,Sherwood Elementary,3205,528,641,409,1,1579,1579,
Dougherty,Covenant Church,2334,450,418,278,2,1148,1148,
Dougherty,Greenbriar Church,3885,522,1093,729,7,2351,2351,
Dougherty,Westover High School,3394,523,938,546,0,2007,2007,
Dougherty,Merry Acres Middle,2432,422,511,336,9,1278,1278,
Dougherty,Darton College,4289,547,1019,636,6,2208,2208,
Dougherty,Westtown Elementary,3265,490,582,630,1,1703,1703,
Dougherty,2nd Mt Zion Church,1465,286,249,215,2,752,752,
Dougherty,Mt Zion Center,3638,495,490,573,2,1560,1560,
Dougherty,Alice Coachman Elementary,750,116,151,189,0,456,456,
Dougherty,Carver Teen Center,1667,205,133,221,1,560,560,
Dougherty,Shiloh Baptist Church,1510,240,160,195,0,595,595,
Dougherty,Litman Cathedral,1486,218,167,188,21,594,594,
Dougherty,Phoebe Healthworks,1574,191,152,180,1,524,524,
Dougherty,Turner Elementary,1205,109,67,66,6,248,248,
Dougherty,Jackson Heights Elementary,2549,344,287,321,0,952,952,
Dougherty,Bill Miller Center,2404,332,361,268,5,966,966,
Dougherty,Radium Middle School,693,131,122,91,0,344,344,
Dougherty,Putney 1st Baptist Church,2819,558,441,366,1,1366,1366,
Dougherty,International Studies,1042,151,206,193,0,550,550,
Dougherty,Phoebe East,2965,493,386,386,4,1269,1269,
Dougherty,Pine Bluff Baptist Church,2221,384,358,358,0,1100,1100,
Dougherty,Albany Middle School,1963,315,250,233,2,800,800,
Dougherty,Christ Church,1879,428,473,311,1,1213,1213,
Dougherty,Lamar Reese Elementary,1098,164,188,243,4,599,599,
Dougherty,1st Christian Church,1505,291,319,214,1,825,825,
Dougherty,Lovett Hall,1174,185,158,26,1,370,370,
